id,Name,File,Loop,MinDistance,MaxDistance,Delay,beifen1,beifen2,beifen3
//ID,名称,资源路径(不需要文件扩展名),是否循环音效(0/1),最小距离,最大距离,,声音大小,"传播距离(""=ROUND(POWER(H3,0.77)*14.5,0)"")",
1,击杀,,0,0,0,,,,
2,连杀,Sound/Scene/2,0,0,0,,,,
3,大杀特杀,Sound/Scene/3,0,0,0,,,,
4,战场主宰,Sound/Scene/4,0,0,0,,,,
5,无人能挡,Sound/Scene/5,0,0,0,,,,
6,无敌战神,Sound/Scene/6,0,0,0,,,,
7,超神,Sound/Scene/7,0,0,0,,,,
8,双杀,Sound/Scene/8,0,0,0,,,,
9,三杀,Sound/Scene/9,0,0,0,,,,
10,四杀,Sound/Scene/10,0,0,0,,,,
11,五杀,Sound/Scene/11,0,0,0,,,,
12,首杀,Sound/Scene/12,0,0,0,,,,
13,复仇,Sound/Scene/13,0,0,0,,,,
10101,幽灵入场,Sound/Scene/10101,0,5,50,0.1,5,50,
10102,幽灵死亡,Sound/Scene/10102,0,5,50,0.1,10,85,
10103,幽灵复活,Sound/Scene/10103,0,5,50,0.1,15,117,
10104,幽灵移动,Sound/Scene/10104,0,5,100,0.1,20,146,
10105,幽灵高处掉下落地,Sound/Scene/10105,0,5,100,0.1,,,
10111,幽灵武器1-发射,Sound/Scene/10111,0,5,200,0.1,25,173,
10112,幽灵武器1-施法过程,,0,5,50,0.1,30,199,
10113,幽灵武器1-命中机甲,,0,5,200,0.1,35,224,
10114,幽灵武器1-命中建筑,,0,5,200,0.1,40,248,
10115,幽灵武器1-命中软地面,,0,5,200,0.1,45,272,
10116,幽灵武器1-结束,Sound/Scene/10116,0,5,50,0.1,50,295,
10117,幽灵武器1-蓄力,,,,,,,,
10121,幽灵武器2-发射,Sound/Scene/10121,0,5,200,0.1,55,317,
10122,幽灵武器2-施法过程,,0,5,50,0.1,60,339,
10123,幽灵武器2-命中机甲,,0,5,200,0.1,65,361,
10124,幽灵武器2-命中建筑,,0,5,200,0.1,70,382,
10125,幽灵武器2-命中软地面,Sound/Scene/10125,0,5,200,0.1,75,403,
10126,幽灵武器2-结束,,0,5,50,0.1,80,423,
10127,幽灵武器2-蓄力,,,,,,,,
10131,幽灵技能-发射,Sound/Scene/10131,0,5,200,0.1,85,444,
10132,幽灵技能-施法过程,,0,5,50,0.1,90,464,
10133,幽灵技能-命中机甲,,0,5,200,0.1,95,483,
10134,幽灵技能-命中建筑,,0,5,200,0.1,100,503,
10135,幽灵技能-命中软地面,,0,5,200,0.1,70,382,
10136,幽灵技能-结束,,0,5,50,0.1,,,
10137,幽灵技能-蓄力,,,,,,,,
10141,幽灵SP技能-发射,,0,5,200,0.1,,,
10142,幽灵SP技能-施法过程（一按键即播放）,Sound/Scene/10141,0,5,50,0.1,,,
10143,幽灵SP技能-命中机甲,,0,5,200,0.1,,,
10144,幽灵SP技能-命中建筑,,0,5,200,0.1,,,
10145,幽灵SP技能-命中软地面,,0,5,200,0.1,,,
10146,幽灵SP技能-结束,,0,5,50,0.1,,,
10147,幽灵SP技能-蓄力,,,,,,,,
10201,蓝色闪电入场,,0,5,50,0.1,,,
10202,蓝色闪电死亡,,0,5,50,0.1,,,
10203,蓝色闪电复活,,0,5,50,0.1,,,
10204,蓝色闪电移动,Sound/Scene/robot_move1,0,5,100,0.1,,,
10205,蓝色闪电高处掉下落地,,0,5,100,0.1,,,
10211,蓝色闪电武器1-发射,,0,5,200,0.1,,,
10212,蓝色闪电武器1-施法过程,,0,5,50,0.1,,,
10213,蓝色闪电武器1-命中机甲,,0,5,200,0.1,,,
10214,蓝色闪电武器1-命中建筑,,0,5,200,0.1,,,
10215,蓝色闪电武器1-命中软地面,,0,5,200,0.1,,,
10216,蓝色闪电武器1-结束,,0,5,50,0.1,,,
10217,蓝色闪电武器1-蓄力,,,,,,,,
10221,蓝色闪电武器2-发射,,0,5,200,0.1,,,
10222,蓝色闪电武器2-施法过程,,0,5,50,0.1,,,
10223,蓝色闪电武器2-命中机甲,,0,5,200,0.1,,,
10224,蓝色闪电武器2-命中建筑,,0,5,200,0.1,,,
10225,蓝色闪电武器2-命中软地面,,0,5,200,0.1,,,
10226,蓝色闪电武器2-结束,,0,5,50,0.1,,,
10227,蓝色闪电武器2-蓄力,,,,,,,,
10231,蓝色闪电技能-发射,,0,5,200,0.1,,,
10232,蓝色闪电技能-施法过程,,0,5,50,0.1,,,
10233,蓝色闪电技能-命中机甲,,0,5,200,0.1,,,
10234,蓝色闪电技能-命中建筑,,0,5,200,0.1,,,
10235,蓝色闪电技能-命中软地面,,0,5,200,0.1,,,
10236,蓝色闪电技能-结束,,0,5,50,0.1,,,
10237,蓝色闪电技能-蓄力,,,,,,,,
10241,蓝色闪电SP技能-发射,,0,5,200,0.1,,,
10242,蓝色闪电SP技能-施法过程,,0,5,50,0.1,,,
10243,蓝色闪电SP技能-命中机甲,,0,5,200,0.1,,,
10244,蓝色闪电SP技能-命中建筑,,0,5,200,0.1,,,
10245,蓝色闪电SP技能-命中软地面,,0,5,200,0.1,,,
10246,蓝色闪电SP技能-结束,,0,5,50,0.1,,,
10247,蓝色闪电SP技能-蓄力,,,,,,,,
10301,鹰眼入场,Sound/Scene/10101,0,5,50,0.1,,,
10302,鹰眼死亡,Sound/Scene/10102,0,5,50,0.1,,,
10303,鹰眼复活,Sound/Scene/30303,0,5,50,0.1,,,
10304,鹰眼移动,Sound/Scene/10304,0,5,100,0.1,,,
10305,鹰眼高处掉下落地,Sound/Scene/20205,0,5,100,0.1,,,
10311,鹰眼武器1-发射,Sound/Scene/10311,0,5,200,0.1,,,
10312,鹰眼武器1-施法过程,,0,5,50,0.1,,,
10313,鹰眼武器1-命中机甲,Sound/Scene/10313,0,5,200,0.1,,,
10314,鹰眼武器1-命中建筑,Sound/Scene/10313,0,5,200,0.1,,,
10315,鹰眼武器1-命中软地面,Sound/Scene/10313,0,5,200,0.1,,,
10316,鹰眼武器1-结束,,0,5,50,0.1,,,
10317,鹰眼武器1-蓄力,,,,,,,,
10321,鹰眼武器2-发射,Sound/Scene/10321,0,5,200,0.1,,,
10322,鹰眼武器2-施法过程,,0,5,50,0.1,,,
10323,鹰眼武器2-命中机甲,Sound/Scene/10343,0,5,200,0.1,,,
10324,鹰眼武器2-命中建筑,Sound/Scene/10343,0,5,200,0.1,,,
10325,鹰眼武器2-命中软地面,Sound/Scene/10343,0,5,200,0.1,,,
10326,鹰眼武器2-结束,,0,5,50,0.1,,,
10327,鹰眼武器2-蓄力,,,,,,,,
10331,鹰眼技能-发射,Sound/Scene/10331,0,5,200,0.1,,,
10332,鹰眼技能-施法过程,,0,5,50,0.1,,,
10333,鹰眼技能-命中机甲,,0,5,200,0.1,,,
10334,鹰眼技能-命中建筑,,0,5,200,0.1,,,
10335,鹰眼技能-命中软地面,,0,5,200,0.1,,,
10336,鹰眼技能-结束,,0,5,50,0.1,,,
10337,鹰眼技能-蓄力,,,,,,,,
10341,鹰眼SP技能-发射,,0,5,200,0.1,,,
10342,鹰眼SP技能-施法过程,,0,5,50,0.1,,,
10343,鹰眼SP技能-命中机甲,Sound/Scene/10343,0,5,200,0.1,,,
10344,鹰眼SP技能-命中建筑,Sound/Scene/10343,0,5,200,0.1,,,
10345,鹰眼SP技能-命中软地面,Sound/Scene/10343,0,5,200,0.1,,,
10346,鹰眼SP技能-结束,,0,5,50,0.1,,,
10347,鹰眼SP技能-蓄力,Sound/Scene/10347,,,,,,,
10401,毁灭入场,,0,5,50,0.1,,,
10402,毁灭死亡,,0,5,50,0.1,,,
10403,毁灭复活,,0,5,50,0.1,,,
10404,毁灭移动,Sound/Scene/robot_move1,0,5,100,0.1,,,
10405,毁灭高处掉下落地,,0,5,100,0.1,,,
10411,毁灭武器1-发射,,0,5,200,0.1,,,
10412,毁灭武器1-施法过程,,0,5,50,0.1,,,
10413,毁灭武器1-命中机甲,,0,5,200,0.1,,,
10414,毁灭武器1-命中建筑,,0,5,200,0.1,,,
10415,毁灭武器1-命中软地面,,0,5,200,0.1,,,
10416,毁灭武器1-结束,,0,5,50,0.1,,,
10417,毁灭武器1-蓄力,,,,,,,,
10421,毁灭武器2-发射,,0,5,200,0.1,,,
10422,毁灭武器2-施法过程,,0,5,50,0.1,,,
10423,毁灭武器2-命中机甲,,0,5,200,0.1,,,
10424,毁灭武器2-命中建筑,,0,5,200,0.1,,,
10425,毁灭武器2-命中软地面,,0,5,200,0.1,,,
10426,毁灭武器2-结束,,0,5,50,0.1,,,
10427,毁灭武器2-蓄力,,,,,,,,
10431,毁灭技能-发射,,0,5,200,0.1,,,
10432,毁灭技能-施法过程,,0,5,50,0.1,,,
10433,毁灭技能-命中机甲,,0,5,200,0.1,,,
10434,毁灭技能-命中建筑,,0,5,200,0.1,,,
10435,毁灭技能-命中软地面,,0,5,200,0.1,,,
10436,毁灭技能-结束,,0,5,50,0.1,,,
10437,毁灭技能-蓄力,,,,,,,,
10441,毁灭SP技能-发射,,0,5,200,0.1,,,
10442,毁灭SP技能-施法过程,,0,5,50,0.1,,,
10443,毁灭SP技能-命中机甲,,0,5,200,0.1,,,
10444,毁灭SP技能-命中建筑,,0,5,200,0.1,,,
10445,毁灭SP技能-命中软地面,,0,5,200,0.1,,,
10446,毁灭SP技能-结束,,0,5,50,0.1,,,
10447,毁灭SP技能-蓄力,,,,,,,,
10501,幻视入场,,0,5,50,0.1,,,
10502,幻视死亡,,0,5,50,0.1,,,
10503,幻视复活,,0,5,50,0.1,,,
10504,幻视移动,Sound/Scene/robot_move1,0,5,100,0.1,,,
10505,幻视高处掉下落地,,0,5,100,0.1,,,
10511,幻视武器1-发射,,0,5,200,0.1,,,
10512,幻视武器1-施法过程,,0,5,50,0.1,,,
10513,幻视武器1-命中机甲,,0,5,200,0.1,,,
10514,幻视武器1-命中建筑,,0,5,200,0.1,,,
10515,幻视武器1-命中软地面,,0,5,200,0.1,,,
10516,幻视武器1-结束,,0,5,50,0.1,,,
10517,幻视武器1-蓄力,,,,,,,,
10521,幻视武器2-发射,,0,5,200,0.1,,,
10522,幻视武器2-施法过程,,0,5,50,0.1,,,
10523,幻视武器2-命中机甲,,0,5,200,0.1,,,
10524,幻视武器2-命中建筑,,0,5,200,0.1,,,
10525,幻视武器2-命中软地面,,0,5,200,0.1,,,
10526,幻视武器2-结束,,0,5,50,0.1,,,
10527,幻视武器2-蓄力,,,,,,,,
10531,幻视技能-发射,,0,5,200,0.1,,,
10532,幻视技能-施法过程,,0,5,50,0.1,,,
10533,幻视技能-命中机甲,,0,5,200,0.1,,,
10534,幻视技能-命中建筑,,0,5,200,0.1,,,
10535,幻视技能-命中软地面,,0,5,200,0.1,,,
10536,幻视技能-结束,,0,5,50,0.1,,,
10537,幻视技能-蓄力,,,,,,,,
10541,幻视SP技能-发射,,0,5,200,0.1,,,
10542,幻视SP技能-施法过程,,0,5,50,0.1,,,
10543,幻视SP技能-命中机甲,,0,5,200,0.1,,,
10544,幻视SP技能-命中建筑,,0,5,200,0.1,,,
10545,幻视SP技能-命中软地面,,0,5,200,0.1,,,
10546,幻视SP技能-结束,,0,5,50,0.1,,,
10547,幻视SP技能-蓄力,,,,,,,,
20101,狂徒入场,,0,5,50,0.1,,,
20102,狂徒死亡,,0,5,50,0.1,,,
20103,狂徒复活,,0,5,50,0.1,,,
20104,狂徒移动,Sound/Scene/robot_move1,0,5,100,0.1,,,
20105,狂徒高处掉下落地,,0,5,100,0.1,,,
20111,狂徒武器1-发射,,0,5,200,0.1,,,
20112,狂徒武器1-施法过程,,0,5,50,0.1,,,
20113,狂徒武器1-命中机甲,,0,5,200,0.1,,,
20114,狂徒武器1-命中建筑,,0,5,200,0.1,,,
20115,狂徒武器1-命中软地面,,0,5,200,0.1,,,
20116,狂徒武器1-结束,,0,5,50,0.1,,,
20117,狂徒武器1-蓄力,,,,,,,,
20121,狂徒武器2-发射,,0,5,200,0.1,,,
20122,狂徒武器2-施法过程,,0,5,50,0.1,,,
20123,狂徒武器2-命中机甲,,0,5,200,0.1,,,
20124,狂徒武器2-命中建筑,,0,5,200,0.1,,,
20125,狂徒武器2-命中软地面,,0,5,200,0.1,,,
20126,狂徒武器2-结束,,0,5,50,0.1,,,
20127,狂徒武器2-蓄力,,,,,,,,
20131,狂徒技能-发射,,0,5,200,0.1,,,
20132,狂徒技能-施法过程,,0,5,50,0.1,,,
20133,狂徒技能-命中机甲,,0,5,200,0.1,,,
20134,狂徒技能-命中建筑,,0,5,200,0.1,,,
20135,狂徒技能-命中软地面,,0,5,200,0.1,,,
20136,狂徒技能-结束,,0,5,50,0.1,,,
20137,狂徒技能-蓄力,,,,,,,,
20141,狂徒SP技能-发射,,0,5,200,0.1,,,
20142,狂徒SP技能-施法过程,,0,5,50,0.1,,,
20143,狂徒SP技能-命中机甲,,0,5,200,0.1,,,
20144,狂徒SP技能-命中建筑,,0,5,200,0.1,,,
20145,狂徒SP技能-命中软地面,,0,5,200,0.1,,,
20146,狂徒SP技能-结束,,0,5,50,0.1,,,
20147,狂徒SP技能-蓄力,,,,,,,,
20201,金刚入场,Sound/Scene/20201,0,5,50,0.1,,,
20202,金刚死亡,Sound/Scene/20202,0,5,50,0.1,,,
20203,金刚复活,Sound/Scene/20203,0,5,50,0.1,,,
20204,金刚移动,Sound/Scene/20204,0,5,100,0.1,,,
20205,金刚高处掉下落地,Sound/Scene/20205,0,5,100,0.1,,,
20211,金刚武器1-发射,Sound/Scene/20211,0,5,200,0.1,,,
20212,金刚武器1-施法过程,,0,5,50,0.1,,,
20213,金刚武器1-命中机甲,,0,5,200,0.1,,,
20214,金刚武器1-命中建筑,,0,5,200,0.1,,,
20215,金刚武器1-命中软地面,,0,5,200,0.1,,,
20216,金刚武器1-结束,,0,5,50,0.1,,,
20217,金刚武器1-蓄力,,,,,,,,
20221,金刚武器2-发射,Sound/Scene/20221,0,5,200,0.1,,,
20222,金刚武器2-施法过程,,0,5,50,0.1,,,
20223,金刚武器2-命中机甲,,0,5,200,0.1,,,
20224,金刚武器2-命中建筑,,0,5,200,0.1,,,
20225,金刚武器2-命中软地面,,0,5,200,0.1,,,
20226,金刚武器2-结束,,0,5,50,0.1,,,
20227,金刚武器2-蓄力,,,,,,,,
20231,金刚技能-发射,,0,5,200,0.1,,,
20232,金刚技能-施法过程,Sound/Scene/20232,0,5,50,0.1,,,
20233,金刚技能-命中机甲,,0,5,200,0.1,,,
20234,金刚技能-命中建筑,,0,5,200,0.1,,,
20235,金刚技能-命中软地面,,0,5,200,0.1,,,
20236,金刚技能-结束,,0,5,50,0.1,,,
20237,金刚技能-蓄力,,,,,,,,
20241,金刚SP技能-发射,,0,5,200,0.1,,,
20242,金刚SP技能-施法过程,Sound/Scene/20242,0,5,50,0.1,,,
20243,金刚SP技能-命中机甲,,0,5,200,0.1,,,
20244,金刚SP技能-命中建筑,,0,5,200,0.1,,,
20245,金刚SP技能-命中软地面,,0,5,200,0.1,,,
20246,金刚SP技能-结束,,0,5,50,0.1,,,
20247,金刚SP技能-蓄力,,,,,,,,
20301,灵天使入场,,0,5,50,0.1,,,
20302,灵天使死亡,,0,5,50,0.1,,,
20303,灵天使复活,,0,5,50,0.1,,,
20304,灵天使移动,Sound/Scene/robot_move1,0,5,100,0.1,,,
20305,灵天使高处掉下落地,,0,5,100,0.1,,,
20311,灵天使武器1-发射,,0,5,200,0.1,,,
20312,灵天使武器1-施法过程,,0,5,50,0.1,,,
20313,灵天使武器1-命中机甲,,0,5,200,0.1,,,
20314,灵天使武器1-命中建筑,,0,5,200,0.1,,,
20315,灵天使武器1-命中软地面,,0,5,200,0.1,,,
20316,灵天使武器1-结束,,0,5,50,0.1,,,
20317,灵天使武器1-蓄力,,,,,,,,
20321,灵天使武器2-发射,,0,5,200,0.1,,,
