id,GroupId,DropDesc,GroupType,GroupValue,DropType,DropId,DropCount,,,
//掉落编号,"组编号,其他表用此字段配置索引",描述,组随机类型，1：万分比，2：权值（必掉其中一个）,组权值:groupType=1就代表万分比值，groupType=2时就代表权值（值越大可能性越大）,掉落类型：0未定义，1钻石，2金币，3银币，4芯片碎片（稀土），5经验，6物品，7机甲，8皮肤，9芯片，10活跃度,掉落ID,掉落数量,,,
//,,,,,每行只能配置其中1种物品掉落,,,,,
1,1,,1,10000,1,,10,,,
2,1,,1,10000,2,,10,,,
3,1,,1,10000,10,,250,,,
4,1,,1,10000,4,,10,,,
5,1,,1,10000,7,201,1,,,
6,1,,1,10000,8,1,1,,,
7,1,,1,10000,6,8,1,,,
8,1,,1,10000,9,1,1,,,
9,2,,2,1000,6,2,1,,,
10,2,,2,1000,6,3,1,,,
11,2,,2,1000,6,4,1,,,
12,2,,2,1,6,5,1,,,
13,11,首次充值获得天下无双机甲（非卖品）,1,10000,6,10100,1,,,
14,12,日活跃度达到30可领取，打开后获得30银币和10稀土，并有小几率获得金币奖励,1,10000,3,,30,,,
15,12,,1,10000,4,,10,,,
16,12,,1,500,2,,5,,,
17,13,日活跃度达到60可领取，打开后获得45银币和10稀土，并有小几率获得金币奖励,1,10000,3,,45,,,
18,13,,1,10000,4,,10,,,
19,13,,1,500,2,,5,,,
20,14,日活跃度达到90可领取，打开后获得60银币和20稀土，并有小几率获得金币奖励,1,10000,3,,60,,,
21,14,,1,10000,4,,20,,,
22,14,,1,1000,2,,5,,,
23,15,日活跃度达到120可领取，打开后获得90银币和20稀土，并有一定几率获得金币奖励,1,10000,3,,90,,,
24,15,,1,10000,4,,20,,,
25,15,,1,1000,2,,5,,,
26,16,日活跃度达到150可领取，打开后获得100银币和50稀土，并有一定几率获得金币奖励,1,10000,3,,100,,,
27,16,,1,10000,4,,50,,,
28,16,,1,1500,2,,10,,,
29,17,周活跃度达到500可领取，打开后获得200银币和150稀土，并有较大几率获得金币奖励,1,10000,3,,200,,,
30,17,,1,10000,4,,150,,,
31,17,,1,7000,2,,30,,,
32,18,周活跃度达到1000可领取，打开后获得500银币和300稀土，并有较大几率获得金币奖励,1,10000,3,,500,,,
33,18,,1,10000,4,,300,,,
34,18,,1,8400,2,,50,,,
35,19,打开后获得100-200的银币,2,10,3,,100,,,
36,19,,2,9,3,,110,,,
37,19,,2,8,3,,120,,,
38,19,,2,7,3,,130,,,
39,19,,2,6,3,,140,,,
40,19,,2,5,3,,150,,,
41,19,,2,4,3,,160,,,
42,19,,2,3,3,,170,,,
43,19,,2,2,3,,180,,,
44,19,,2,1,3,,190,,,
45,20,打开后获得50的金币和1张双倍经验卡,1,10000,2,,50,,,
46,20,,1,10000,6,30,1,,,
47,21,打开后获得50-500的钻石（非卖品）,2,10,1,,50,,,
48,21,,2,9,1,,100,,,
49,21,,2,8,1,,150,,,
50,21,,2,7,1,,200,,,
51,21,,2,6,1,,250,,,
52,21,,2,5,1,,300,,,
53,21,,2,4,1,,350,,,
54,21,,2,3,1,,400,,,
55,21,,2,2,1,,450,,,
56,21,,2,1,1,,500,,,
57,22,打开后获得10000的银币,1,10000,3,,10000,,,
58,23,打开后获得10000的金币,1,10000,2,,10000,,,
59,24,打开后获得10000的稀土,1,10000,4,,10000,,,
60,25,使用后，立即获得288金币和月卡一张；月卡需要在背包内使用后生效。,1,10000,2,,288,,,
61,25,,1,10000,6,28,1,,,
62,26,使用后，立即获得68金币和周卡一张；周卡需要在背包内使用后生效。,1,10000,2,,68,,,
63,26,,1,10000,6,29,1,,,
64,27,打开后获得10-100的金币，每日限购一个，快来试试运气吧！,2,1600,2,,10,,,
65,27,,2,1200,2,,12,,,
66,27,,2,400,2,,15,,,
67,27,,2,200,2,,18,,,
68,27,,2,100,2,,25,,,
69,27,,2,50,2,,36,,,
70,27,,2,40,2,,49,,,
71,27,,2,30,2,,66,,,
72,27,,2,20,2,,88,,,
73,27,,2,10,2,,100,,,
74,1001,匹配战结算获得的稀土（随机1-5）,2,60,4,,1,,,
75,1001,,2,30,4,,2,,,
76,1001,,2,15,4,,3,,,
77,1001,,2,5,4,,4,,,
78,1001,,2,1,4,,5,,,
79,5000,头像框礼包,1,10000,6,500,1,,,
80,5000,,1,10000,6,501,1,,,
81,5000,,1,10000,6,502,1,,,
,,,,,,,,,,
82,9000,银币测试礼包,2,20,2,,5,,,
83,9000,,2,10,2,,10,,,
84,9000,,2,5,2,,20,,,
85,9000,,2,1,2,,50,,,
86,9000,,2,20,4,,5,,,
87,9000,,2,10,4,,10,,,
88,9000,,2,5,4,,20,,,
89,9000,,2,1,4,,50,,,
90,9001,金币礼包（测试），开启后获得200-1000银币,2,30,3,,200,,,
91,9001,,2,20,3,,300,,,
92,9001,,2,15,3,,400,,,
93,9001,,2,10,3,,500,,,
94,9001,,2,5,3,,800,,,
95,9001,,2,1,3,,1000,,,
96,9002,使用后可以随机获得“幻影兑换卡”和“金刚兑换卡”中的一种,2,1,7,101,1,,,
97,9002,,2,1,7,202,1,,,
98,28,活跃度奖励（低）,1,10000,5,,80,,,
99,28,,1,10000,10,,5,,,
100,29,活跃度奖励（中）,1,10000,5,,160,,,
101,29,,1,10000,10,,10,,,
102,30,活跃度奖励（高）,1,10000,5,,240,,,
103,30,,1,10000,10,,20,,,
104,31,活跃度奖励（最高）,1,10000,5,,320,,,
105,31,,1,10000,10,,30,,,
106,32,周卡活跃度奖励,1,10000,2,,25,,,
107,32,,1,10000,10,,5,,,
108,33,月卡活跃度奖励,1,10000,2,,30,,,
109,33,,1,10000,10,,5,,,
110,34,青铜补给箱,1,10000,6,41,1,,,
111,35,白银补给箱,1,10000,6,42,1,,,
112,36,黄金补给箱,1,10000,6,43,1,,,
113,37,铂金补给箱,1,10000,6,44,1,,,
114,38,神秘补给箱,1,10000,6,45,1,,,
115,39,高级补给箱,1,10000,6,46,1,,,
116,40,至尊补给箱,1,10000,6,47,1,,,
117,41,周卡礼包,1,10000,2,2,68,,,
118,41,,1,10000,6,28,1,,,
119,42,月卡礼包,1,10000,2,2,288,,,
120,42,,1,10000,6,27,1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1000,100,白银芯片箱,2,7778,9,101,1,,,
1001,100,,2,7778,9,102,1,,,
1002,100,,2,7778,9,103,1,,,
1003,100,,2,7778,9,1104,1,,,
1004,100,,2,7778,9,1105,1,,,
1005,100,,2,7778,9,1106,1,,,
1006,100,,2,7778,9,2107,1,,,
1007,100,,2,7778,9,2108,1,,,
1008,100,,2,7778,9,2109,1,,,
1009,100,,2,1556,9,1256,1,,,
1010,100,,2,1556,9,203,1,,,
1011,100,,2,1556,9,2208,1,,,
1012,100,,2,1556,9,1205,1,,,
1013,100,,2,1556,9,201,1,,,
1014,100,,2,1556,9,1254,1,,,
1015,100,,2,1556,9,202,1,,,
1016,100,,2,1556,9,212,1,,,
1017,100,,2,1556,9,2278,1,,,
1018,100,,2,1556,9,1204,1,,,
1019,100,,2,1556,9,2279,1,,,
1020,100,,2,1556,9,213,1,,,
1021,100,,2,1556,9,1206,1,,,
1022,100,,2,1556,9,2207,1,,,
1023,100,,2,1556,9,2209,1,,,
1024,100,,2,1556,9,2298,1,,,
1025,100,,2,1556,9,232,1,,,
1026,100,,2,1556,9,1246,1,,,
1027,100,,2,111,9,1356,1,,,
1028,100,,2,111,9,303,1,,,
1029,100,,2,111,9,2308,1,,,
1030,100,,2,111,9,1305,1,,,
1031,100,,2,111,9,301,1,,,
1032,100,,2,111,9,1354,1,,,
1033,100,,2,111,9,302,1,,,
1034,100,,2,111,9,312,1,,,
1035,100,,2,111,9,2378,1,,,
1036,100,,2,111,9,1304,1,,,
1037,100,,2,111,9,2379,1,,,
1038,100,,2,111,9,313,1,,,
1039,100,,2,111,9,1306,1,,,
1040,100,,2,111,9,2307,1,,,
1041,100,,2,111,9,2309,1,,,
1042,100,,2,111,9,2398,1,,,
1043,100,,2,111,9,332,1,,,
1044,100,,2,111,9,1346,1,,,
,,,,0,,,,,,
2000,101,黄金芯片箱,2,3833,9,1256,1,,,
2001,101,,2,3833,9,203,1,,,
2002,101,,2,3833,9,2208,1,,,
2003,101,,2,3833,9,1205,1,,,
2004,101,,2,3833,9,201,1,,,
2005,101,,2,3833,9,1254,1,,,
2006,101,,2,3833,9,202,1,,,
2007,101,,2,3833,9,212,1,,,
2008,101,,2,3833,9,2278,1,,,
2009,101,,2,3833,9,1204,1,,,
2010,101,,2,3833,9,2279,1,,,
2011,101,,2,3833,9,213,1,,,
2012,101,,2,3833,9,1206,1,,,
2013,101,,2,3833,9,2207,1,,,
2014,101,,2,3833,9,2209,1,,,
2015,101,,2,3833,9,2298,1,,,
2016,101,,2,3833,9,232,1,,,
2017,101,,2,3833,9,1246,1,,,
2018,101,,2,1389,9,1356,1,,,
2019,101,,2,1389,9,303,1,,,
2020,101,,2,1389,9,2308,1,,,
2021,101,,2,1389,9,1305,1,,,
2022,101,,2,1389,9,301,1,,,
2023,101,,2,1389,9,1354,1,,,
2024,101,,2,1389,9,302,1,,,
2025,101,,2,1389,9,312,1,,,
2026,101,,2,1389,9,2378,1,,,
2027,101,,2,1389,9,1304,1,,,
2028,101,,2,1389,9,2379,1,,,
2029,101,,2,1389,9,313,1,,,
2030,101,,2,1389,9,1306,1,,,
2031,101,,2,1389,9,2307,1,,,
2032,101,,2,1389,9,2309,1,,,
2033,101,,2,1389,9,2398,1,,,
2034,101,,2,1389,9,332,1,,,
2035,101,,2,1389,9,1346,1,,,
2036,101,,2,69,9,1456,1,,,
2037,101,,2,69,9,442,1,,,
2038,101,,2,69,9,1424,1,,,
2039,101,,2,69,9,403,1,,,
2040,101,,2,69,9,2408,1,,,
2041,101,,2,69,9,453,1,,,
2042,101,,2,69,9,1435,1,,,
2043,101,,2,69,9,452,1,,,
2044,101,,2,69,9,1425,1,,,
2045,101,,2,69,9,491,1,,,
2046,101,,2,69,9,1405,1,,,
2047,101,,2,69,9,401,1,,,
2048,101,,2,69,9,473,1,,,
2049,101,,2,69,9,2437,1,,,
2050,101,,2,69,9,1454,1,,,
2051,101,,2,69,9,1485,1,,,
2052,101,,2,69,9,2458,1,,,
2053,101,,2,69,9,1474,1,,,
2054,101,,2,69,9,2447,1,,,
2055,101,,2,69,9,1476,1,,,
2056,101,,2,69,9,2467,1,,,
2057,101,,2,69,9,402,1,,,
2058,101,,2,69,9,443,1,,,
2059,101,,2,69,9,1434,1,,,
2060,101,,2,69,9,463,1,,,
2061,101,,2,69,9,1436,1,,,
2062,101,,2,69,9,412,1,,,
2063,101,,2,69,9,2478,1,,,
2064,101,,2,69,9,1404,1,,,
2065,101,,2,69,9,1414,1,,,
2066,101,,2,69,9,461,1,,,
2067,101,,2,69,9,1416,1,,,
2068,101,,2,69,9,1495,1,,,
2069,101,,2,69,9,2459,1,,,
2070,101,,2,69,9,2479,1,,,
2071,101,,2,69,9,413,1,,,
2072,101,,2,69,9,1475,1,,,
2073,101,,2,69,9,2457,1,,,
2074,101,,2,69,9,451,1,,,
2075,101,,2,69,9,1415,1,,,
2076,101,,2,69,9,1486,1,,,
2077,101,,2,69,9,2468,1,,,
2078,101,,2,69,9,1484,1,,,
2079,101,,2,69,9,2448,1,,,
2080,101,,2,69,9,482,1,,,
2081,101,,2,69,9,2428,1,,,
2082,101,,2,69,9,2449,1,,,
2083,101,,2,69,9,481,1,,,
2084,101,,2,69,9,2418,1,,,
2085,101,,2,69,9,1406,1,,,
2086,101,,2,69,9,492,1,,,
2087,101,,2,69,9,1494,1,,,
2088,101,,2,69,9,2429,1,,,
2089,101,,2,69,9,472,1,,,
2090,101,,2,69,9,2427,1,,,
2091,101,,2,69,9,471,1,,,
2092,101,,2,69,9,2417,1,,,
2093,101,,2,69,9,441,1,,,
2094,101,,2,69,9,2407,1,,,
2095,101,,2,69,9,2409,1,,,
2096,101,,2,69,9,2419,1,,,
2097,101,,2,69,9,493,1,,,
2098,101,,2,69,9,2439,1,,,
2099,101,,2,69,9,483,1,,,
2100,101,,2,69,9,2438,1,,,
2101,101,,2,69,9,462,1,,,
2102,101,,2,69,9,1426,1,,,
2103,101,,2,69,9,1496,1,,,
2104,101,,2,69,9,2469,1,,,
2105,101,,2,69,9,2498,1,,,
2106,101,,2,69,9,432,1,,,
2107,101,,2,69,9,1446,1,,,
2108,101,,2,14,9,1556,1,,,
2109,101,,2,14,9,542,1,,,
2110,101,,2,14,9,1524,1,,,
2111,101,,2,14,9,503,1,,,
2112,101,,2,14,9,2508,1,,,
2113,101,,2,14,9,553,1,,,
2114,101,,2,14,9,1535,1,,,
2115,101,,2,14,9,552,1,,,
2116,101,,2,14,9,1525,1,,,
2117,101,,2,14,9,591,1,,,
2118,101,,2,14,9,1505,1,,,
2119,101,,2,14,9,501,1,,,
2120,101,,2,14,9,573,1,,,
2121,101,,2,14,9,2537,1,,,
2122,101,,2,14,9,1554,1,,,
2123,101,,2,14,9,1585,1,,,
2124,101,,2,14,9,2558,1,,,
